Jar,Species,Treatment,Day,Replicate,Sample.Day,Community,Species.Richness,Abundance
94,P.caudatum,U0.5,4,1,1,P.caudatum+Loxocephallus,2,3000
95,Loxocephallus,U0.5,4,2,1,P.caudatum+Loxocephallus,2,0
95,P.caudatum,U0.5,4,2,1,P.caudatum+Loxocephallus,2,3300
96,Loxocephallus,U0.5,4,3,1,P.caudatum+Loxocephallus,2,100
96,P.caudatum,U0.5,4,3,1,P.caudatum+Loxocephallus,2,2800
97,Blepharisma,U0.5,4,1,1,P.caudatum+Blepharisma,2,200
97,P.caudatum,U0.5,4,1,1,P.caudatum+Blepharisma,2,3200
98,Blepharisma,U0.5,4,2,1,P.caudatum+Blepharisma,2,300
98,P.caudatum,U0.5,4,2,1,P.caudatum+Blepharisma,2,3600
99,Blepharisma,U0.5,4,3,1,P.caudatum+Blepharisma,2,300
99,P.caudatum,U0.5,4,3,1,P.caudatum+Blepharisma,2,2400
100,Blepharisma,U0.5,4,1,1,Blepharisma+Loxocephallus,2,1400
100,Loxocephallus,U0.5,4,1,1,Blepharisma+Loxocephallus,2,25
101,Blepharisma,U0.5,4,2,1,Blepharisma+Loxocephallus,2,1900
101,Loxocephallus,U0.5,4,2,1,Blepharisma+Loxocephallus,2,25
102,Blepharisma,U0.5,4,3,1,Blepharisma+Loxocephallus,2,1700
102,Loxocephallus,U0.5,4,3,1,Blepharisma+Loxocephallus,2,25
103,Blepharisma,U0.5,4,1,1,P.caudatum+Loxocephallus+Blepharisma,3,200
