,Jar,Species,Day,Treatment,Replicate,Community,Community.Complexity,td
273,138,Colpidium,0,20,3,Loxocephalus + Blepharisma + Colpidium,3,100
274,138,Loxocephallus,0,20,3,Loxocephalus + Blepharisma + Colpidium,3,100
275,139,Blepharisma,0,20,4,Loxocephalus + Blepharisma + Colpidium,3,100
276,139,Colpidium,0,20,4,Loxocephalus + Blepharisma + Colpidium,3,100
277,139,Loxocephallus,0,20,4,Loxocephalus + Blepharisma + Colpidium,3,100
278,140,Blepharisma,0,20,5,Loxocephalus + Blepharisma + Colpidium,3,100
279,140,Colpidium,0,20,5,Loxocephalus + Blepharisma + Colpidium,3,100
280,140,Loxocephallus,0,20,5,Loxocephalus + Blepharisma + Colpidium,3,100
281,141,Blepharisma,0,15,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
282,141,Colpidium,0,15,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
283,141,Loxocephallus,0,15,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
284,141,P.caudatum,0,15,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
285,142,Blepharisma,0,15,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
286,142,Colpidium,0,15,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
287,142,Loxocephallus,0,15,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
288,142,P.caudatum,0,15,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
289,143,Blepharisma,0,15,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
290,143,Colpidium,0,15,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
291,143,Loxocephallus,0,15,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
292,143,P.caudatum,0,15,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
293,144,Blepharisma,0,15,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
294,144,Colpidium,0,15,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
295,144,Loxocephallus,0,15,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
296,144,P.caudatum,0,15,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
297,145,Blepharisma,0,15,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
298,145,Colpidium,0,15,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
299,145,Loxocephallus,0,15,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
300,145,P.caudatum,0,15,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
301,146,Blepharisma,0,20,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
302,146,Colpidium,0,20,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
303,146,Loxocephallus,0,20,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
304,146,P.caudatum,0,20,1,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
305,147,Blepharisma,0,20,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
306,147,Colpidium,0,20,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
307,147,Loxocephallus,0,20,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
308,147,P.caudatum,0,20,2,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
309,148,Blepharisma,0,20,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
310,148,Colpidium,0,20,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
311,148,Loxocephallus,0,20,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
312,148,P.caudatum,0,20,3,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
313,149,Blepharisma,0,20,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
314,149,Colpidium,0,20,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
315,149,Loxocephallus,0,20,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
316,149,P.caudatum,0,20,4,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
317,150,Blepharisma,0,20,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
318,150,Colpidium,0,20,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
319,150,Loxocephallus,0,20,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
320,150,P.caudatum,0,20,5,P. caudatum + Loxocephalus + Blepharisma + Colpidium,4,100
321,1,P.caudatum,2,15,1,P.caudatum,1,228.9590714
322,2,P.caudatum,2,15,2,P.caudatum,1,322.6591402
323,3,P.caudatum,2,15,3,P.caudatum,1,242.2083416
324,4,P.caudatum,2,15,4,P.caudatum,1,62.11875928
325,5,P.caudatum,2,15,5,P.caudatum,1,80.78794835
326,6,P.caudatum,2,20,1,P.caudatum,1,274.0544742
327,7,P.caudatum,2,20,2,P.caudatum,1,360.0202309
328,8,P.caudatum,2,20,3,P.caudatum,1,138.1777818
329,9,P.caudatum,2,20,4,P.caudatum,1,354.3087035
330,10,P.caudatum,2,20,5,P.caudatum,1,145.6838402
331,11,Loxocephallus,2,15,1,Loxocephalus,1,273.264156
332,12,Loxocephallus,2,15,2,Loxocephalus,1,197.515179
333,13,Loxocephallus,2,15,3,Loxocephalus,1,117.4155907
334,14,Loxocephallus,2,15,4,Loxocephalus,1,121.857719
335,15,Loxocephallus,2,15,5,Loxocephalus,1,91.234475
336,16,Loxocephallus,2,20,1,Loxocephalus,1,150.0518337
337,17,Loxocephallus,2,20,2,Loxocephalus,1,267.170692
338,18,Loxocephallus,2,20,3,Loxocephalus,1,103.7118188
339,19,Loxocephallus,2,20,4,Loxocephalus,1,286.6797498
340,20,Loxocephallus,2,20,5,Loxocephalus,1,163.5648784
341,21,Colpidium,2,15,1,Colpidium,1,421.8671437
342,22,Colpidium,2,15,2,Colpidium,1,516.000399
343,23,Colpidium,2,15,3,Colpidium,1,426.3535527
344,24,Colpidium,2,15,4,Colpidium,1,152.6369705
345,25,Colpidium,2,15,5,Colpidium,1,392.117523
346,26,Colpidium,2,20,1,Colpidium,1,946.2796982
347,27,Colpidium,2,20,2,Colpidium,1,79.61899586
348,28,Colpidium,2,20,3,Colpidium,1,2801.808651
349,29,Colpidium,2,20,4,Colpidium,1,1350.714427
350,30,Colpidium,2,20,5,Colpidium,1,1596.5655
351,31,Blepharisma,2,15,1,Blepharisma,1,143.3042368
352,32,Blepharisma,2,15,2,Blepharisma,1,65.23950846
353,33,Blepharisma,2,15,3,Blepharisma,1,235.6418753
354,34,Blepharisma,2,15,4,Blepharisma,1,112.8485099
355,35,Blepharisma,2,15,5,Blepharisma,1,163.6744829
356,36,Blepharisma,2,20,1,Blepharisma,1,168.5855797
357,37,Blepharisma,2,20,2,Blepharisma,1,141.6868183
358,38,Blepharisma,2,20,3,Blepharisma,1,131.1477116
359,39,Blepharisma,2,20,4,Blepharisma,1,145.7976175
